Action, Loc y/x, Chrg Station, Floor Type, Dirt Present, North, East, South, West, Battery, Dirt Capacity
MOVE, 4/0, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OBSTICLE,36.0,43
CHECK_SENSOR, 4/0, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OBSTICLE,36.0,43
SWEEP, 4/0, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OBSTICLE,35.0,42
CHECK_SENSOR, 4/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,35.0,42
MOVE, 3/0, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OBSTICLE,34.0,42
CHECK_SENSOR, 3/0, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OBSTICLE,34.0,42
SWEEP, 3/0, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OBSTICLE,33.0,41
CHECK_SENSOR, 3/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,33.0,41
MOVE, 2/0, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OBSTICLE,32.0,41
CHECK_SENSOR, 2/0, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OBSTICLE,32.0,41
SWEEP, 2/0, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OBSTICLE,31.0,40
CHECK_SENSOR, 2/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,31.0,40
MOVE, 1/0, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OBSTICLE,30.0,40
CHECK_SENSOR, 1/0, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OBSTICLE,30.0,40
SWEEP, 1/0, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OBSTICLE,29.0,39
CHECK_SENSOR, 1/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,29.0,39
MOVE, 0/0, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OBSTICLE,28.0,39
CHECK_SENSOR, 0/0, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OBSTICLE,28.0,39
SWEEP, 0/0, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OBSTICLE,27.0,38
CHECK_SENSOR, 0/0, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OBSTICLE,27.0,38
MOVE, 0/1, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,26.0,38
CHECK_SENSOR, 0/1, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,26.0,38
SWEEP, 0/1, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,25.0,37
CHECK_SENSOR, 0/1, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,25.0,37
MOVE, 0/2, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,24.0,37
CHECK_SENSOR, 0/2, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,24.0,37
SWEEP, 0/2, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,23.0,36
CHECK_SENSOR, 0/2, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,23.0,36
MOVE, 0/3, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,22.0,36
CHECK_SENSOR, 0/3, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,22.0,36
SWEEP, 0/3, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,21.0,35
CHECK_SENSOR, 0/3, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,21.0,35
MOVE, 0/4, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,20.0,35
CHECK_SENSOR, 0/4, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,20.0,35
SWEEP, 0/4, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,19.0,34
CHECK_SENSOR, 0/4, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,19.0,34
MOVE, 0/5, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,18.0,34
CHECK_SENSOR, 0/5, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,18.0,34
MOVE, 0/4, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,17.0,34
CHECK_SENSOR, 0/4, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,17.0,34
MOVE, 0/3, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,16.0,34
CHECK_SENSOR, 0/3, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,16.0,34
MOVE, 0/2, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,15.0,34
CHECK_SENSOR, 0/2, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,15.0,34
MOVE, 0/1, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,14.0,34
CHECK_SENSOR, 0/1, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,14.0,34
MOVE, 0/0, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OBSTICLE,13.0,34
CHECK_SENSOR, 0/0, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OBSTICLE,13.0,34
MOVE, 1/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,12.0,34
CHECK_SENSOR, 1/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,12.0,34
MOVE, 2/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,11.0,34
CHECK_SENSOR, 2/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,11.0,34
MOVE, 3/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,10.0,34
CHECK_SENSOR, 3/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,10.0,34
MOVE, 4/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,9.0,34
CHECK_SENSOR, 4/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,9.0,34
MOVE, 5/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,8.0,34
CHECK_SENSOR, 5/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,8.0,34
MOVE, 6/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,7.0,34
CHECK_SENSOR, 6/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,7.0,34
MOVE, 6/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,6.0,34
CHECK_SENSOR, 6/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,6.0,34
MOVE, 6/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,5.0,34
CHECK_SENSOR, 6/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,5.0,34
MOVE, 6/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,4.0,34
CHECK_SENSOR, 6/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,4.0,34
MOVE, 6/4, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,3.0,34
CHECK_SENSOR, 6/4, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,3.0,34
MOVE, 6/5, Yes, BARE_FLOOR, Yes,OBSTICLE,OPEN,OBSTICLE,OPEN,2.0,34
CHECK_SENSOR, 6/5, Yes, BARE_FLOOR, Yes,OBSTICLE,OPEN,OBSTICLE,OPEN,2.0,34
MOVE, 6/4, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,49.0,34
CHECK_SENSOR, 6/4, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,49.0,34
MOVE, 6/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,48.0,34
CHECK_SENSOR, 6/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,48.0,34
MOVE, 6/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,47.0,34
CHECK_SENSOR, 6/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,47.0,34
MOVE, 6/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,46.0,34
CHECK_SENSOR, 6/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,46.0,34
MOVE, 6/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,45.0,34
CHECK_SENSOR, 6/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,45.0,34
MOVE, 5/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,44.0,34
CHECK_SENSOR, 5/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,44.0,34
MOVE, 4/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,43.0,34
CHECK_SENSOR, 4/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,43.0,34
MOVE, 3/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,42.0,34
CHECK_SENSOR, 3/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,42.0,34
MOVE, 2/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,41.0,34
CHECK_SENSOR, 2/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,41.0,34
MOVE, 1/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,40.0,34
CHECK_SENSOR, 1/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,40.0,34
MOVE, 0/0, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OBSTICLE,39.0,34
CHECK_SENSOR, 0/0, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OBSTICLE,39.0,34
MOVE, 0/1, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,38.0,34
CHECK_SENSOR, 0/1, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,38.0,34
MOVE, 0/2, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,37.0,34
CHECK_SENSOR, 0/2, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,37.0,34
MOVE, 0/3, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,36.0,34
CHECK_SENSOR, 0/3, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,36.0,34
MOVE, 0/4, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,35.0,34
CHECK_SENSOR, 0/4, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,35.0,34
MOVE, 0/5, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,34.0,34
CHECK_SENSOR, 0/5, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,34.0,34
SWEEP, 0/5, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,33.0,33
CHECK_SENSOR, 0/5, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,33.0,33
MOVE, 0/6, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,32.0,33
CHECK_SENSOR, 0/6, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,32.0,33
SWEEP, 0/6, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,31.0,32
CHECK_SENSOR, 0/6, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,31.0,32
MOVE, 0/7, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,30.0,32
CHECK_SENSOR, 0/7, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,30.0,32
SWEEP, 0/7, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,29.0,31
CHECK_SENSOR, 0/7, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,29.0,31
MOVE, 0/8, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,28.0,31
CHECK_SENSOR, 0/8, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,28.0,31
SWEEP, 0/8, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,27.0,30
CHECK_SENSOR, 0/8, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,27.0,30
MOVE, 0/9, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,26.0,30
CHECK_SENSOR, 0/9, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,26.0,30
SWEEP, 0/9, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OPEN,25.0,29
CHECK_SENSOR, 0/9, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,25.0,29
MOVE, 0/10, No, BARE_FLOOR, Yes,OPEN,STAIRS,OBSTICLE,OPEN,24.0,29
CHECK_SENSOR, 0/10, No, BARE_FLOOR, Yes,OPEN,STAIRS,OBSTICLE,OPEN,24.0,29
SWEEP, 0/10, No, BARE_FLOOR, Yes,OPEN,STAIRS,OBSTICLE,OPEN,23.0,28
CHECK_SENSOR, 0/10, No, BARE_FLOOR, No,OPEN,STAIRS,OBSTICLE,OPEN,23.0,28
MOVE, 0/9, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,22.0,28
CHECK_SENSOR, 0/9, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,22.0,28
MOVE, 0/8, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,21.0,28
CHECK_SENSOR, 0/8, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,21.0,28
MOVE, 0/7, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,20.0,28
CHECK_SENSOR, 0/7, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,20.0,28
MOVE, 0/6, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,19.0,28
CHECK_SENSOR, 0/6, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,19.0,28
MOVE, 0/5, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,18.0,28
CHECK_SENSOR, 0/5, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,18.0,28
MOVE, 0/4, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,17.0,28
CHECK_SENSOR, 0/4, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,17.0,28
MOVE, 0/3, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,16.0,28
CHECK_SENSOR, 0/3, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,16.0,28
MOVE, 0/2, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,15.0,28
CHECK_SENSOR, 0/2, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,15.0,28
MOVE, 0/1, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,14.0,28
CHECK_SENSOR, 0/1, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,14.0,28
MOVE, 0/0, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OBSTICLE,13.0,28
CHECK_SENSOR, 0/0, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OBSTICLE,13.0,28
MOVE, 1/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,12.0,28
CHECK_SENSOR, 1/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,12.0,28
MOVE, 2/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,11.0,28
CHECK_SENSOR, 2/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,11.0,28
MOVE, 3/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,10.0,28
CHECK_SENSOR, 3/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,10.0,28
MOVE, 4/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,9.0,28
CHECK_SENSOR, 4/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,9.0,28
MOVE, 5/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,8.0,28
CHECK_SENSOR, 5/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,8.0,28
MOVE, 6/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,7.0,28
CHECK_SENSOR, 6/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,7.0,28
MOVE, 6/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,6.0,28
CHECK_SENSOR, 6/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,6.0,28
MOVE, 6/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,5.0,28
CHECK_SENSOR, 6/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,5.0,28
MOVE, 6/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,4.0,28
CHECK_SENSOR, 6/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,4.0,28
MOVE, 6/4, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,3.0,28
CHECK_SENSOR, 6/4, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,3.0,28
MOVE, 6/5, Yes, BARE_FLOOR, Yes,OBSTICLE,OPEN,OBSTICLE,OPEN,2.0,28
CHECK_SENSOR, 6/5, Yes, BARE_FLOOR, Yes,OBSTICLE,OPEN,OBSTICLE,OPEN,2.0,28
MOVE, 6/4, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,49.0,28
CHECK_SENSOR, 6/4, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,49.0,28
MOVE, 6/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,48.0,28
CHECK_SENSOR, 6/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,48.0,28
MOVE, 6/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,47.0,28
CHECK_SENSOR, 6/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,47.0,28
MOVE, 6/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,46.0,28
CHECK_SENSOR, 6/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,46.0,28
MOVE, 6/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,45.0,28
CHECK_SENSOR, 6/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,45.0,28
MOVE, 5/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,44.0,28
CHECK_SENSOR, 5/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,44.0,28
MOVE, 4/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,43.0,28
CHECK_SENSOR, 4/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,43.0,28
MOVE, 3/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,42.0,28
CHECK_SENSOR, 3/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,42.0,28
MOVE, 2/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,41.0,28
CHECK_SENSOR, 2/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,41.0,28
MOVE, 1/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,40.0,28
CHECK_SENSOR, 1/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,40.0,28
MOVE, 0/0, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OBSTICLE,39.0,28
CHECK_SENSOR, 0/0, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OBSTICLE,39.0,28
MOVE, 0/1, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,38.0,28
CHECK_SENSOR, 0/1, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,38.0,28
MOVE, 0/2, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,37.0,28
CHECK_SENSOR, 0/2, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,37.0,28
MOVE, 0/3, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,36.0,28
CHECK_SENSOR, 0/3, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,36.0,28
MOVE, 0/4, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,35.0,28
CHECK_SENSOR, 0/4, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,35.0,28
MOVE, 0/5, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,34.0,28
CHECK_SENSOR, 0/5, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,34.0,28
MOVE, 0/6, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,33.0,28
CHECK_SENSOR, 0/6, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,33.0,28
MOVE, 0/7, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,32.0,28
CHECK_SENSOR, 0/7, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,32.0,28
MOVE, 0/8, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,31.0,28
CHECK_SENSOR, 0/8, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,31.0,28
MOVE, 0/9, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,30.0,28
CHECK_SENSOR, 0/9, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,30.0,28
MOVE, 0/10, No, BARE_FLOOR, No,OPEN,STAIRS,OBSTICLE,OPEN,29.0,28
CHECK_SENSOR, 0/10, No, BARE_FLOOR, No,OPEN,STAIRS,OBSTICLE,OPEN,29.0,28
MOVE, 1/10, No, BARE_FLOOR, Yes,OBSTICLE,STAIRS,OPEN,OPEN,28.0,28
CHECK_SENSOR, 1/10, No, BARE_FLOOR, Yes,OBSTICLE,STAIRS,OPEN,OPEN,28.0,28
SWEEP, 1/10, No, BARE_FLOOR, Yes,OBSTICLE,STAIRS,OPEN,OPEN,27.0,27
CHECK_SENSOR, 1/10, No, BARE_FLOOR, No,OBSTICLE,STAIRS,OPEN,OPEN,27.0,27
MOVE, 1/9, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,26.0,27
CHECK_SENSOR, 1/9, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,26.0,27
SWEEP, 1/9, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,25.0,26
CHECK_SENSOR, 1/9, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,25.0,26
MOVE, 1/8, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,24.0,26
CHECK_SENSOR, 1/8, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,24.0,26
SWEEP, 1/8, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,23.0,25
